SEX,AGER,EDUR,DEM02A,DEM02B,DEM02C,DEM02D,DEM02E,DEM02F,DEM02G,vahy,vlna
1,2,4,3,2,2,3,2,2,2,.981808960191096,26
2,2,4,2,2,2,3,3,2,2,.952324324229656,26
2,2,4,3,2,2,3,2,3,3,.709472605400158,26
1,2,4,2,1,4,4,4,1,1,.715454460316509,26
2,5,1,3,5,2,5,3,3,5,.320108667995319,26
1,2,4,2,2,2,2,3,2,2,.902962552458365,26
1,3,2,3,3,1,1,1,2,2,.91583706549522,26
1,3,2,2,3,2,4,3,3,2,.912868244918181,26
1,3,2,4,3,3,1,1,1,2,.912868244918181,26
2,2,3,2,1,3,3,3,1,2,.705723001343411,26
2,5,1,4,3,1,3,1,4,3,.744734285545836,26
1,3,2,3,3,1,1,2,3,3,2.90777333219425,26
2,5,1,3,5,5,5,1,3,2,2.19760376895236,26
1,2,4,3,1,3,1,4,2,1,.844898105233188,26
1,2,4,3,3,3,4,3,2,1,1.02324690867995,26
1,2,4,3,2,3,4,3,1,1,.851315375794251,26
1,2,4,4,3,2,2,1,3,4,.761024594553611,26
1,3,2,3,2,2,3,2,5,3,1.57152379445634,26
1,3,2,4,4,1,2,1,4,3,3.00278655832762,26
1,3,2,2,1,3,4,4,1,1,1.01806316684599,26
1,3,2,3,2,5,5,2,3,3,.662226562131283,26
1,2,4,3,3,3,3,3,1,2,.883486598564162,26
2,3,2,3,2,1,5,5,3,3,2.89311668774523,26
1,2,4,3,3,3,4,3,2,3,1.27096227562591,26
1,2,4,3,2,2,3,2,1,2,1.52764563704692,26
1,2,4,3,2,2,4,2,1,1,2.60428412034639,26
1,2,4,2,2,3,4,3,1,2,1.27096227562591,26
1,4,1,3,3,2,2,1,4,3,2.90777333219425,26
1,3,2,4,4,2,3,3,2,2,2.24697389478268,26
1,2,4,3,3,1,5,1,5,3,.828783613198479,26
2,2,4,4,4,1,3,1,3,2,.302877472203511,26
1,3,2,4,3,2,1,3,3,2,.787031093672088,26
1,3,2,4,3,2,2,2,2,3,2.90777333219425,26
2,2,3,4,3,1,2,2,3,3,.545629263320016,26
2,2,3,5,2,5,5,2,2,2,.378125991110474,26
2,2,3,3,2,1,2,2,3,2,.301474557397609,26
1,2,3,3,2,2,2,2,2,2,.472209834077052,26
1,2,3,4,2,1,4,1,2,2,2.0429384038565,26
1,2,3,4,3,2,3,2,5,2,2.25137458787479,26
1,2,3,2,1,1,2,1,1,1,1.79419563457879,26
1,2,3,2,3,3,4,4,2,1,.812072756378614,26
1,2,3,3,3,1,3,2,2,3,.812072756378614,26
1,2,3,5,3,1,3,5,2,2,.503730772256851,26
1,2,3,3,3,1,4,2,2,3,.812072756378614,26
2,5,1,3,3,1,5,3,5,3,.320108667995319,26
2,5,1,4,4,2,3,4,4,3,.733584141721707,26
1,3,2,4,3,5,5,2,3,3,.405763892958801,26
2,5,1,3,3,2,4,2,2,2,.769387557110028,26
2,5,1,4,4,2,4,2,4,3,.395282722320403,26
1,2,4,2,1,3,3,3,1,2,1.06779534002681,26
1,3,2,3,3,2,3,2,2,2,.738460208130893,26
1,3,2,3,3,2,2,3,2,2,.430422010632363,26
1,5,1,4,3,1,2,1,3,3,.80227138396609,26
2,2,4,3,3,2,2,2,3,2,.497828062409752,26
